RBCRWAJ,ROA,REPDTE,ROE,ASSET,STNAME,CERT,NETINC,LNLSNET,LNLSDEPR,DEP,EQTOT,ID
13.909838669639422,1.6159399481037637,20191231,14.64,44181503,CALIFORNIA,31628,689646.0,34420686,91.72420589259518,37526284,4987666.0,31628_20191231
10.769688355252095,1.2289638684484714,20191231,9.97,43126164,TENNESSEE,4977,516663.0,31455285,95.86993735578875,32810374,5334340.0,4977_20191231
11.786615587214175,1.2349862625728707,20191231,11.36,42074066,OKLAHOMA,4214,506797.0,21667771,77.62621136843366,27912957,4602977.0,4214_20191231
12.724160270366585,0.499985163667491,20191231,5.11,41950721,FLORIDA,34775,197853.0,35045349,124.34723761344245,28183456,3917979.0,34775_20191231
19.98458723577274,1.496327648450143,20191231,14.95,41627000,PUERTO RICO,34968,601000.0,19527000,53.53529814941741,36475000,4227000.0,34968_20191231
12.461483949410468,1.2162402016289102,20191231,12.81,39787666,NORTH CAROLINA,11063,452722.0,28791204,83.55835876305368,34456402,3763947.0,11063_20191231
70.52197599941103,1.3144751293354073,20191231,5.58,37585000,NEW YORK,623,529000.0,11809000,47.418085448120785,24904000,9588000.0,623_20191231
11.686094614751331,1.0617037033013716,20191231,9.36,37441578,NEW JERSEY,9396,357714.0,29613562,101.05276053103476,29305050,4569751.0,9396_20191231
11.337340932506565,1.2073416937168724,20191231,8.43,34531413,PENNSYLVANIA,7888,408765.0,23126927,92.26430369513578,25065953,5072356.0,7888_20191231
13.395782117608821,1.3892969939044288,20191231,12.31,34105305,TEXAS,5510,453533.0,14618150,52.73666879540049,27719138,3889797.0,5510_20191231
19.531942499414868,1.0770862515608557,20191231,7.03,33871000,DELAWARE,57203,369000.0,25972000,107.49110172998924,24162000,5487000.0,57203_20191231
12.119542616807598,1.0579737966025273,20191231,5.45,33588619,ILLINOIS,33306,328670.0,22822017,92.06940951972457,24787839,6222947.0,33306_20191231
13.356966943652242,1.0275879116681423,20191231,10.89,32782199,FLORIDA,58979,335723.0,23084243,93.73712721875158,24626574,3104661.0,58979_20191231
13.434972431700503,2.031914894917091,20191231,19.63,32598529,UTAH,58177,598568.0,24678812,100.24631803505484,24618173,3251942.0,58177_20191231
10.921295851306056,1.0950086697183552,20191231,12.4,32529274,TEXAS,34383,334183.0,27017850,101.76174444507846,26550105,2863302.0,34383_20191231
11.948580931235465,1.0333412135443067,20191231,9.32,32343129,WISCONSIN,5296,341789.0,22771349,95.58455728817196,23823251,3917596.0,5296_20191231
12.89299906256725,1.432657257279035,20191231,7.8,32184416,TEXAS,16835,348693.0,18757876,77.19011316421928,24300879,6007554.0,16835_20191231
11.760437028089001,1.2446062924144385,20191231,9.46,31614914,LOUISIANA,28100,389643.0,24090839,94.87184536010331,25393033,4247603.0,28100_20191231
11.533621738468982,1.1495409406323553,20191231,10.19,30597146,MISSISSIPPI,12441,336962.0,21077374,88.25796310164895,23881555,3524029.0,12441_20191231
13.522269024257735,1.4740301010829073,20191231,9.86,30566521,NEW YORK,30337,448290.0,21342099,93.84393749078252,22742118,4643022.0,30337_20191231
12.58399335054747,1.3945068341822837,20191231,13.53,30412303,CONNECTICUT,18221,404850.0,19866294,83.33203928552958,23839923,3077699.0,18221_20191231
12.537981768751,1.0354903173880312,20191231,7.6,29303000,PENNSYLVANIA,7946,293000.0,16371000,68.01129990444934,24071000,3860000.0,7946_20191231
