ACTIVE,ROA,REPDTE,ROE,ASSET,state,INTINC,LNCI,NONIX,NETINC,LNLSDEPR,DEP,SC,LNCON,city,RBCRWAJ,LNRE,cert_id,NONII,LNLSNET,EQTOT,ID,loan_to_deposit_ratio,capital_adequacy_ratio,npl_ratio,cost_to_income_ratio,net_interest_margin,risk_tier,size_bucket
1,0.2430979501208084,20231231,2.58,304021,NEW JERSEY,11867.0,512,9154.0,755.0,103.49036354187848,221295,35170,269.0,SEA ISLE CITY,17.114394324485602,229662,30367,423.0,229019,29561.0,30367_20231231,103.49036354187848,17.114394324485602,0.04518854922162724,74.48331977217249,3.903348781827571,MEDIUM,Community ($100M-$1B)
1,7.8407433883431565,20231231,89.66,303849,MONTANA,14698.0,56774,7061.0,21476.0,33.173217886114124,276259,14,2380.0,MISSOULA,29.64035125478886,33052,58482,15354.0,91644,26985.0,58482_20231231,33.173217886114124,29.64035125478886,0.03619791572401262,23.495940370025288,4.837271144548773,LOW,Community ($100M-$1B)
1,0.8186047236283989,20231231,10.1,303364,ILLINOIS,12059.0,40096,7717.0,2522.0,61.531964826918696,267591,100288,3332.0,LA SALLE,16.29714307671617,122401,3691,2582.0,164654,27456.0,3691_20231231,61.531964826918696,16.29714307671617,0.03737046462698671,52.70814835052251,3.9750926279980483,LOW,Community ($100M-$1B)
1,0.5299675869653296,20231231,4.7,303067,OKLAHOMA,16896.0,32288,9828.0,1465.0,95.48724533147033,264805,9658,2197.0,GUTHRIE,14.801429793206289,220880,5994,2482.0,252855,33429.0,5994_20231231,95.48724533147033,14.801429793206289,0.03776363739355375,50.717308287749,5.575004866910617,LOW,Community ($100M-$1B)
1,0.19764385350148297,20231231,3.79,302806,MASSACHUSETTS,11994.0,9961,9464.0,614.0,74.55229843220114,281605,52256,7901.0,MEDWAY,13.882172491292351,193529,26602,1434.0,209943,17488.0,26602_20231231,74.55229843220114,13.882172491292351,0.03551073311908525,70.47959487637772,3.960951896593859,LOW,Community ($100M-$1B)
1,2.762904262154637,20231231,42.59,302674,TEXAS,21373.0,33833,10371.0,9030.0,73.23897314065341,249187,102483,541.0,CORPUS CHRISTI,17.527830437447438,142801,18660,2078.0,182502,22891.0,18660_20231231,73.23897314065341,17.527830437447438,0.04013050440030981,44.224126902903926,7.061392785637352,LOW,Community ($100M-$1B)
1,1.3706615194683427,20231231,11.86,302635,LOUISIANA,14889.0,7693,8492.0,3988.0,87.1979899736839,251937,48610,5186.0,NEW ROADS,20.725365237780316,192399,17767,1381.0,219684,36061.0,17767_20231231,87.1979899736839,20.725365237780316,0.03969246279823924,52.194222495390285,4.919787863267633,LOW,Community ($100M-$1B)
1,1.989317737923391,20231231,45.05,302182,COLORADO,18241.0,23335,6205.0,6433.0,58.674131918173146,284161,82568,805.0,AULT,0.0,121805,57335,321.0,166729,15608.0,57335_20231231,58.674131918173146,0.0,0.03519131759812219,33.42850985885142,6.036428377600254,MEDIUM,Community ($100M-$1B)
1,1.1090848726597347,20231231,10.55,301949,MISSOURI,11200.0,29572,6464.0,3227.0,78.06634048332187,268765,56367,2407.0,BOWLING GREEN,0.0,171966,1936,1104.0,209815,32386.0,1936_20231231,78.06634048332187,0.0,0.03720722564321991,52.53576072821846,3.709235665625652,MEDIUM,Community ($100M-$1B)
1,1.8535642698147268,20231231,16.66,301836,OHIO,16882.0,34532,6884.0,5356.0,109.11091406072045,245848,11618,6667.0,COSHOCTON,15.900166587339362,226428,29695,1130.0,268247,34133.0,29695_20231231,109.11091406072045,15.900166587339362,0.040675539357651884,38.218965134354875,5.59310353967055,LOW,Community ($100M-$1B)
1,1.2005708174543,20231231,13.06,301692,ILLINOIS,12441.0,17616,5879.0,3626.0,88.35008818728089,228491,72914,4068.0,HAVANA,0.0,99779,3677,1629.0,201872,30393.0,3677_20231231,88.35008818728089,0.0,0.04376539995010744,41.78393745557925,4.123742094586532,MEDIUM,Community ($100M-$1B)
1,1.8939909010734561,20231231,23.42,301354,IOWA,10004.0,16467,6122.0,5850.0,52.99466523914127,270865,140816,6580.0,GLENWOOD,0.0,108086,956,5742.0,143544,29301.0,956_20231231,52.99466523914127,0.0,0.0369187602680302,38.879715483297346,3.3196838269941664,MEDIUM,Community ($100M-$1B)
1,0.20971179607453755,20231231,1.64,300852,NEW YORK,11340.0,366,6168.0,637.0,85.92232429784845,251121,41373,6249.0,CARTHAGE,26.461272674920817,210559,28942,686.0,215769,39965.0,28942_20231231,85.92232429784845,26.461272674920817,0.0398214406600802,51.28887410610344,3.7692952016273784,LOW,Community ($100M-$1B)
1,0.9890702739424941,20231231,5.64,300656,OHIO,14251.0,5354,7691.0,2772.0,89.4936347931098,238484,55124,958.0,MARION,0.0,206618,2068,1247.0,213428,50547.0,2068_20231231,89.4936347931098,0.0,0.04193153419097298,49.62575816234353,4.739968601990315,MEDIUM,Community ($100M-$1B)
1,0.40128928174306766,20231231,5.59,300561,CONNECTICUT,10984.0,1534,5897.0,1183.0,98.6703583527041,252098,42419,921.0,SALISBURY,16.089523948385214,247304,2496,627.0,248746,22199.0,2496_20231231,98.6703583527041,16.089523948385214,0.03966711358281303,50.788045818620276,3.6544994194190195,MEDIUM,Community ($100M-$1B)
